Site,Status
Site 1,Site Error
Site 2,185
Site 3,Site Error
Site 4,Site Error
Site 5,Site Error
Site 6,45
Site 7,75
Site 8,200
Site 9,Site Error
Site 10,140
Site 11,150
Site 12,Site Error
Site 13,Site Error
Site 14,20
Site 15,10 patients or fewer
Site 16,Site Error
