Site,Status
Site 1,Site Error
Site 2,485
Site 3,Site Error
Site 4,Site Error
Site 5,Site Error
Site 6,85
Site 7,445
Site 8,500
Site 9,Site Error
Site 10,350
Site 11,440
Site 12,Site Error
Site 13,Site Error
Site 14,80
Site 15,10 patients or fewer
Site 16,Site Error
