Site,Status
Site 1,Site Error
Site 2,265
Site 3,Site Error
Site 4,Site Error
Site 5,Site Error
Site 6,55
Site 7,235
Site 8,270
Site 9,Site Error
Site 10,210
Site 11,235
Site 12,Site Error
Site 13,Site Error
Site 14,50
Site 15,10 patients or fewer
Site 16,Site Error
