Site,Status
Site 1,Site Error
Site 2,250
Site 3,Site Error
Site 4,Site Error
Site 5,Site Error
Site 6,55
Site 7,100
Site 8,205
Site 9,Site Error
Site 10,185
Site 11,155
Site 12,Site Error
Site 13,Site Error
Site 14,35
Site 15,10 patients or fewer
Site 16,Site Error
