Site,Status
U Pittsburgh,50710
Mayo Clinic,32235
Harvard-MGB,29900
UC Los Angeles,23845
Medical College of WI,17110
U Alabama Birmingham,15315
U Rochester,13625
U Kentucky,11905
UC Davis,8640
U Washington,5310
USC Keck Medicine,3610
site 12,2815
site 13,1390
site 14,735
