Site,Status
U Pittsburgh,3083
Mayo Clinic,4330
Harvard-MGB,2005
UC Los Angeles,1545
Medical College of WI,905
U Alabama Birmingham,1015
U Rochester,850
U Kentucky,650
UC Davis,605
U Washington,370
USC Keck Medicine,160
site 12,120
site 13,130
site 14,55
