Site,Status
U Pittsburgh,68375
Mayo Clinic,41125
Harvard-MGB,48205
UC Los Angeles,36355
Medical College of WI,21580
U Alabama Birmingham,21645
U Rochester,19885
U Kentucky,16055
UC Davis,8760
U Washington,6555
USC Keck Medicine,4630
site 12,3525
site 13,1625
site 14,1505
