Site,Status
U Pittsburgh,4400
Mayo Clinic,5355
Harvard-MGB,3590
UC Los Angeles,2055
Medical College of WI,935
U Alabama Birmingham,1560
U Rochester,1205
U Kentucky,950
UC Davis,490
U Washington,400
USC Keck Medicine,250
site 12,150
site 13,65
site 14,120
